_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
101,BFA,DFB,2024/2025,NESKEN FRONTENISA,FRONTENIS FEMENINO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
102,BFA,DFB,2024/2025,NESKEN FRONTENISA,FRONTENIS FEMENINO,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
103,BFA,DFB,2024/2025,NESKEN FRONTENISA,FRONTENIS FEMENINO,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
104,BFA,DFB,2024/2025,NESKEN FRONTENISA,FRONTENIS FEMENINO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
105,BFA,DFB,2024/2025,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
106,BFA,DFB,2024/2025,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
107,BFA,DFB,2024/2025,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
108,BFA,DFB,2024/2025,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
109,BFA,DFB,2024/2025,GIMNASIA ERRITMIKOA,GIMNASIA RITMICA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
110,BFA,DFB,2024/2025,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
111,BFA,DFB,2024/2025,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
112,BFA,DFB,2024/2025,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
113,BFA,DFB,2024/2025,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
114,BFA,DFB,2024/2025,GIMNASIA ARTISTIKOA,GIMNASIA ARTISTICA,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
115,BFA,DFB,2024/2025,GIMNASIA TRANPOLINA,GIMNASIA TRAMPOLIN,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 5,5 DE DICIEMBRE
